text_en	reversible	time	level	item	fetish	act_needs_dick	act_needs_pussy	pas_needs_dick	pas_needs_pussy	oral (act receives!)	anal	domination	rng	jokerCode	fetish2
ActPlayer, play with PasPlayer's boobs. If you roll at least a 4, you can take them out first!	1	60	2			0	0	0	1	0	0	0	0	0	
ActPlayer, touch and rub PasPlayer's pussy. If they still have their underwear on, you may not take it off!	1	60	2			0	0	0	1	0	0	0	0	0	
ActPlayer and PasPlayer, whoever has their hands up last, has to take all remaining clothes off!	1	0	2			0	0	0	0	0	0	0	0	0	
PasPlayer, kneel and suck ActPlayer's dick!	1	90	2			1	0	0	0	1	0	0	0	0	
PasPlayer, if you roll at least a 4, ActPlayer will take out your dick and rub it. If you roll a 1 or 2, they will squeeze your balls instead!	1	60	2			0	0	1	0	0	0	1	1	0	
ActPlayer, if you roll at least a 4, PasPlayer will take out and suck your dick!	1	90	2			1	0	0	0	1	0	0	1	0	
ActPlayer, if you roll at least a 4, PasPlayer will lick your pussy!	1	90	2			0	1	0	0	1	0	0	1	0	
You will get triple the number you rolled as slaps on your butt!	1	0	2			0	0	0	0	0	0	0	0	0	
ActPlayer, play with yourself while fondling or kissing PasPlayer!	1	60	2			0	0	0	0	0	0	0	0	0	
ActPlayer, fuck PasPlayer's mouth with a dildo!	1	45	2	dildo		0	0	0	0	1	0	1	0	0	
ActPlayer, cover PasPlayer's mouth and nose with your hand until they tap out. Give them a passionate kiss afterwards!	1	0	2		breath_play	0	0	0	0	0	0	1	0	0	
ActPlayer, you get a brand new joker! Yeah!	1	0	2			0	0	0	0	0	0	0	0	1	
ActPlayer, you get another time warp! Let's go!	1	0	2			0	0	0	0	0	0	0	0	2	
PasPlayer, lie down and suck ActPlayer's dick who will stand next to the bed or couch!	1	90	2			1	0	0	0	1	0	0	0	0	
PasPlayer, lie down! ActPlayer, kneel above them and fuck their mouth!	1	60	2			1	0	0	0	1	0	1	0	0	
PasPlayer, squat and suck ActPlayer's dick!	1	60	2			1	0	0	0	1	0	0	0	0	
PasPlayer, kneel and lick ActPlayer's balls!	1	90	2			1	0	0	0	1	0	1	0	0	
PasPlayer, kneel and put your lips around ActPlayer's dick! They will grab your hair and use your mouth!	1	90	2			1	0	0	0	1	0	0	0	0	
ActPlayer, try to make PasPlayer cum! If you succeed, you'll even earn yourself a time warp!	1	0	2			0	0	0	0	0	0	0	0	0	
ActPlayer, give PasPlayer XX slaps on the butt while they lie over your lap!	1	0	2		spanking	0	0	0	0	0	0	1	0	3	
PasPlayer, stand and bend down. ActPlayer will administer XX slaps on your butt!	1	0	2		spanking	0	0	0	0	0	0	1	3	0	
PasPlayer, get on your hands and knees! ActPlayer will administer XX slaps on your butt!	1	0	2		spanking	0	0	0	0	0	0	1	3	0	
ActPlayer, give PasPlayer XX slaps on the butt! If their butt is still covered, you may temporarily change that!	1	0	2		spanking	0	0	0	0	0	0	1	3	0	
ActPlayer, give PasPlayer XX slaps on the butt! If their butt is still covered, you may temporarily change that!	1	0	2		spanking	0	0	0	0	0	0	1	3	0	
ActPlayer, give PasPlayer XX gentle slaps on their pussy! You may  take off any clothes they are still wearing for better access!	1	0	2		spanking	0	0	0	1	0	0	1	2	0	
PasPlayer, kneel in front of PasPlayer and ask them to slap your face XX times!	1	0	2		spanking	0	0	0	0	0	0	1	2	0	
